line_no,service_type,variant,note,from_start_time,to_start_time,headway_minutes
06,daily,ΑΜΜΟΥΔΑΡΑ,,09:30,10:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,10:00,10:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,10:30,11:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,11:00,11:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,11:30,12:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,12:00,12:20,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,12:20,12:40,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,12:40,13:00,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,13:00,13:20,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,13:20,13:40,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,13:40,14:00,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,14:00,14:20,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,14:20,14:40,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,14:40,15:00,20
06,daily,ΑΜΜΟΥΔΑΡΑ,,15:00,15:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,15:30,16:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,16:00,16:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,16:30,17:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,17:00,17:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,17:30,18:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,18:00,18:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,18:30,19:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,19:00,19:00,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,19:00,19:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,19:30,19:30,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,19:30,20:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,20:00,20:00,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,20:00,20:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,20:30,20:30,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,20:30,20:30,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,20:30,21:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,21:00,21:00,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,21:00,21:00,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,21:00,21:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,21:30,21:30,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,21:30,21:30,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,21:30,22:00,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,22:00,22:00,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,22:00,22:00,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,22:00,22:30,30
06,daily,ΑΜΜΟΥΔΑΡΑ,,22:30,22:30,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,22:30,22:30,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,22:30,23:05,35
06,daily,ΑΜΜΟΥΔΑΡΑ,,23:05,23:05,0
06,daily,ΑΜΜΟΥΔΑΡΑ,,23:05,23:05,0
06,daily,AMMOUDARA- AIRPORT,,05:55,06:28,33
06,daily,AMMOUDARA- AIRPORT,,06:28,06:57,29
06,daily,AMMOUDARA- AIRPORT,,06:57,07:20,23
06,daily,AMMOUDARA- AIRPORT,,07:20,07:40,20
06,daily,AMMOUDARA- AIRPORT,,07:40,08:00,20
06,daily,AMMOUDARA- AIRPORT,,08:00,08:20,20
06,daily,AMMOUDARA- AIRPORT,,08:20,08:40,20
06,daily,AMMOUDARA- AIRPORT,,08:40,09:00,20
06,daily,AMMOUDARA- AIRPORT,,09:00,09:30,30
06,daily,AMMOUDARA- AIRPORT,,09:30,10:00,30
06,daily,AMMOUDARA- AIRPORT,,10:00,10:30,30
06,daily,AMMOUDARA- AIRPORT,,10:30,11:00,30
06,daily,AMMOUDARA- AIRPORT,,11:00,11:30,30
06,daily,AMMOUDARA- AIRPORT,,11:30,12:00,30
06,daily,AMMOUDARA- AIRPORT,,12:00,12:20,20
06,daily,AMMOUDARA- AIRPORT,,12:20,12:40,20
06,daily,AMMOUDARA- AIRPORT,,12:40,13:00,20
06,daily,AMMOUDARA- AIRPORT,,13:00,13:20,20
06,daily,AMMOUDARA- AIRPORT,,13:20,13:40,20
06,daily,AMMOUDARA- AIRPORT,,13:40,14:00,20
06,daily,AMMOUDARA- AIRPORT,,14:00,14:20,20
06,daily,AMMOUDARA- AIRPORT,,14:20,14:40,20
06,daily,AMMOUDARA- AIRPORT,,14:40,15:00,20
06,daily,AMMOUDARA- AIRPORT,,15:00,15:30,30
06,daily,AMMOUDARA- AIRPORT,,15:30,16:00,30
06,daily,AMMOUDARA- AIRPORT,,16:00,16:30,30
06,unknown,AMMOUDARA- AIRPORT,,17:00,17:30,30
06,unknown,AMMOUDARA- AIRPORT,,17:30,18:00,30
06,unknown,AMMOUDARA- AIRPORT,,18:00,18:30,30
06,unknown,AMMOUDARA- AIRPORT,,18:30,19:00,30
06,unknown,AMMOUDARA- AIRPORT,,19:00,19:30,30
06,unknown,AMMOUDARA- AIRPORT,,19:30,20:00,30
06,unknown,AMMOUDARA- AIRPORT,,20:00,20:30,30
06,unknown,AMMOUDARA- AIRPORT,,20:30,21:00,30
06,unknown,AMMOUDARA- AIRPORT,,21:00,21:30,30
06,unknown,AMMOUDARA- AIRPORT,,21:30,22:00,30
06,unknown,AMMOUDARA- AIRPORT,,22:00,22:30,30
06,unknown,AMMOUDARA- AIRPORT,,22:30,23:05,35
07,daily,ΑΜΝΙΣΣΟΣ,,08:00,09:00,60
